iter	Passed	Remaining
1023	2453	268
1024	2460	266
1025	2467	264
1026	2474	262
1027	2478	260
1028	2485	258
1029	2492	256
1030	2498	254
1031	2504	252
1032	2511	250
1033	2518	248
1034	2524	246
1035	2532	244
1036	2535	242
1037	2543	240
1038	2550	238
1039	2562	236
1040	2569	234
1041	2573	232
1042	2577	229
1043	2582	227
1044	2585	225
1045	2588	222
1046	2596	220
1047	2601	218
1048	2611	216
1049	2618	214
1050	2626	212
1051	2633	210
1052	2640	208
1053	2646	205
1054	2654	203
1055	2658	201
1056	2665	199
1057	2670	196
1058	2675	194
1059	2680	192
1060	2683	189
1061	2687	187
1062	2691	184
1063	2694	182
1064	2698	179
1065	2701	177
1066	2705	174
1067	2710	172
1068	2714	170
1069	2717	167
1070	2720	165
1071	2724	162
1072	2728	160
1073	2732	157
1074	2736	155
1075	2740	152
1076	2744	150
1077	2749	147
1078	2756	145
1079	2770	143
1080	2774	141
1081	2779	138
1082	2782	136
1083	2786	133
1084	2789	131
1085	2792	128
1086	2797	126
1087	2799	123
1088	2801	120
1089	2804	118
1090	2807	115
1091	2810	113
1092	2812	110
1093	2815	108
1094	2818	105
1095	2820	102
1096	2823	100
1097	2827	97
1098	2830	95
1099	2833	92
1100	2835	90
1101	2839	87
1102	2843	85
1103	2846	82
1104	2849	79
1105	2852	77
1106	2854	74
1107	2857	72
1108	2861	69
1109	2864	67
1110	2867	64
1111	2870	61
1112	2874	59
1113	2877	56
1114	2879	54
1115	2882	51
1116	2886	49
1117	2889	46
1118	2891	43
1119	2894	41
1120	2897	38
1121	2900	36
1122	2903	33
1123	2905	31
1124	2908	28
1125	2910	25
1126	2913	23
1127	2916	20
1128	2918	18
1129	2921	15
1130	2924	12
1131	2927	10
1132	2929	7
1133	2934	5
1134	2937	2
1135	2940	0
