iter	Passed	Remaining
1039	3777	7119
1040	3780	7113
1041	3782	7107
1042	3784	7101
1043	3786	7094
1044	3788	7088
1045	3791	7082
1046	3793	7076
1047	3795	7070
1048	3798	7063
1049	3800	7057
1050	3802	7051
1051	3807	7050
1052	3810	7045
1053	3813	7040
1054	3819	7042
1055	3826	7044
1056	3833	7047
1057	3837	7044
1058	3840	7039
1059	3843	7034
1060	3846	7028
1061	3848	7023
1062	3852	7020
1063	3857	7019
1064	3860	7014
1065	3862	7008
1066	3865	7001
1067	3868	6997
1068	3870	6991
1069	3873	6985
1070	3876	6981
1071	3880	6978
1072	3884	6975
1073	3887	6971
1074	3890	6967
1075	3894	6963
1076	3899	6962
1077	3903	6959
1078	3905	6953
1079	3908	6948
1080	3911	6944
1081	3914	6938
1082	3916	6932
1083	3921	6930
1084	3923	6924
1085	3925	6918
1086	3928	6912
1087	3930	6906
1088	3932	6900
1089	3934	6894
1090	3938	6891
1091	3943	6889
1092	3947	6886
1093	3949	6880
1094	3952	6875
1095	3954	6870
1096	3957	6864
1097	3961	6863
1098	3965	6858
1099	3967	6853
1100	3972	6851
1101	3976	6848
1102	3979	6844
1103	3982	6840
1104	3986	6837
1105	3992	6837
1106	3996	6833
1107	3999	6829
1108	4001	6823
1109	4004	6818
1110	4007	6813
1111	4009	6807
1112	4012	6803
1113	4015	6797
1114	4017	6791
1115	4019	6786
1116	4023	6782
1117	4025	6777
1118	4028	6771
1119	4030	6765
1120	4032	6759
1121	4035	6753
1122	4037	6748
1123	4039	6742
1124	4041	6736
1125	4043	6730
1126	4046	6724
1127	4048	6718
1128	4050	6712
1129	4055	6711
1130	4058	6706
1131	4060	6700
1132	4062	6694
1133	4064	6688
1134	4067	6683
1135	4069	6678
1136	4073	6673
1137	4077	6672
1138	4080	6666
1139	4082	6661
1140	4084	6655
1141	4087	6649
1142	4089	6643
1143	4091	6637
1144	4093	6631
1145	4095	6626
1146	4097	6620
1147	4100	6614
1148	4102	6608
1149	4104	6602
1150	4106	6596
1151	4108	6591
1152	4110	6585
1153	4116	6584
1154	4120	6582
1155	4124	6579
1156	4128	6576
1157	4131	6572
1158	4135	6568
1159	4137	6563
1160	4142	6561
1161	4148	6561
1162	4152	6559
1163	4155	6554
1164	4159	6551
1165	4161	6546
1166	4164	6541
1167	4173	6545
1168	4175	6540
1169	4179	6537
1170	4183	6533
1171	4187	6530
1172	4190	6526
1173	4192	6521
1174	4195	6516
1175	4198	6511
1176	4202	6509
1177	4209	6511
1178	4214	6508
1179	4216	6504
1180	4219	6499
1181	4222	6494
1182	4224	6488
1183	4226	6483
1184	4229	6478
1185	4232	6473
1186	4234	6467
1187	4237	6463
1188	4240	6458
1189	4243	6453
1190	4246	6449
1191	4248	6443
1192	4250	6438
1193	4253	6433
1194	4255	6427
1195	4258	6423
1196	4263	6421
1197	4265	6416
1198	4269	6413
1199	4274	6411
1200	4280	6411
1201	4282	6406
1202	4288	6406
1203	4291	6401
1204	4297	6401
1205	4300	6397
1206	4303	6392
1207	4306	6388
1208	4311	6386
1209	4314	6382
1210	4316	6377
1211	4320	6374
1212	4324	6371
1213	4329	6368
1214	4331	6363
1215	4333	6358
1216	4338	6355
1217	4340	6350
1218	4343	6345
1219	4345	6340
1220	4348	6335
1221	4351	6331
1222	4353	6325
1223	4355	6319
1224	4357	6314
1225	4360	6309
1226	4362	6303
1227	4364	6298
1228	4366	6292
1229	4369	6287
1230	4372	6283
1231	4379	6284
1232	4382	6280
1233	4386	6277
1234	4392	6277
1235	4396	6275
1236	4403	6275
1237	4408	6274
1238	4411	6269
1239	4417	6270
1240	4423	6269
1241	4425	6264
1242	4431	6263
1243	4436	6261
1244	4439	6257
1245	4442	6253
1246	4444	6248
1247	4447	6243
1248	4450	6239
1249	4453	6234
1250	4455	6229
1251	4457	6223
1252	4460	6218
1253	4462	6213
1254	4464	6208
1255	4467	6202
1256	4469	6197
1257	4471	6191
1258	4473	6186
1259	4478	6184
1260	4484	6183
1261	4489	6183
1262	4493	6179
1263	4498	6178
1264	4502	6175
1265	4506	6171
1266	4511	6171
1267	4515	6167
1268	4518	6163
1269	4522	6160
1270	4524	6155
1271	4528	6151
1272	4531	6148
1273	4534	6143
1274	4538	6140
1275	4541	6136
1276	4544	6131
1277	4546	6125
1278	4549	6122
1279	4553	6118
1280	4557	6115
1281	4559	6110
1282	4561	6105
1283	4564	6099
1284	4566	6094
1285	4568	6088
1286	4571	6084
1287	4573	6078
1288	4575	6073
1289	4577	6068
1290	4579	6062
1291	4582	6057
1292	4589	6059
1293	4593	6055
1294	4599	6055
1295	4603	6053
1296	4606	6049
1297	4611	6047
1298	4614	6042
1299	4617	6037
1300	4620	6033
1301	4625	6032
1302	4633	6034
1303	4636	6030
1304	4638	6025
1305	4641	6020
1306	4644	6016
1307	4649	6014
1308	4651	6009
1309	4654	6004
1310	4656	5998
1311	4659	5994
1312	4661	5989
1313	4665	5986
1314	4668	5981
1315	4670	5976
1316	4673	5971
1317	4676	5968
1318	4679	5963
1319	4683	5960
1320	4687	5957
1321	4689	5952
1322	4692	5947
1323	4694	5942
1324	4696	5937
1325	4702	5936
1326	4707	5935
1327	4716	5937
1328	4718	5932
1329	4721	5928
1330	4725	5925
1331	4728	5921
1332	4735	5921
1333	4738	5917
1334	4742	5915
1335	4750	5916
1336	4753	5912
1337	4758	5911
1338	4760	5905
1339	4763	5900
1340	4766	5896
1341	4769	5892
1342	4771	5887
1343	4774	5882
